dataset,model,algo,gflops,ratio,acc,eval time,train time,alpha
imdb,bert-base-uncased,pitome,7.7765718150634475,0.505,82.10172744721685,43.11227464675903,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,7.768377163669972,0.505,80.04974408189378,42.92338180541992,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,7.773874612330243,0.505,79.12372040946896,57.55822825431824,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,8.512424834210975,0.525,83.73120601407551,43.28579306602478,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,8.513049518924989,0.525,81.66722648752405,43.47039556503296,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,8.50971689569274,0.525,80.72120921305182,48.96010136604309,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,9.527860638218899,0.55,85.09476967370442,43.63464975357056,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,9.524235580929071,0.55,84.04678502879086,43.35046625137329,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,9.530504542341736,0.55,83.23678502879067,43.94667649269104,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,11.792051156268657,0.6,87.17610364683304,45.528932332992554,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,11.771200215708197,0.6,87.11812220089573,45.60080337524414,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,11.785776580053684,0.6,87.13811580294308,45.674397230148315,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,13.047508595469948,0.625,88.15579014715291,46.91775631904602,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,13.040816911231943,0.625,88.19377799104292,46.66616868972778,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,13.05667939697474,0.625,88.16578694817652,46.62332844734192,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,17.58231392798479,0.7,90.33909149072323,53.426952600479126,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,17.582019306380175,0.7,90.33909149072305,101.67966556549072,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,17.57230496724774,0.7,90.31509916826616,167.7560248374939,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,21.165764685144367,0.75,91.2707933461293,171.71297073364258,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,21.141630755378536,0.75,91.26879398592457,171.31263661384583,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,21.156261109681793,0.75,91.26279590531043,3258.14613032341,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,25.324691313995604,0.8,91.78864683301353,65.54733800888062,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,25.335891917389063,0.8,91.75063979526546,97.0424370765686,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,25.342587757081972,0.8,91.72064939219452,170.95671677589417,0,$\alpha=0.0$
imdb,bert-base-uncased,pitome,30.036399525097753,0.85,91.97856685860533,74.37037825584412,0,$\alpha=1.0$
imdb,bert-base-uncased,pitome,29.998092038878937,0.85,91.98656429942432,74.3323163986206,0,$\alpha=0.5$
imdb,bert-base-uncased,pitome,30.048114797573756,0.85,91.70655790147151,136.9383111000061,0,$\alpha=0.0$
